...1,Date,Team,Acquired,Relinquished,Notes
8608,3/5/2006,Jazz,NA,C.J. Miles,placed on IL
8610,3/5/2006,Mavericks,NA,Keith Van Horn,placed on IL with sprained MCL in left knee
8612,3/5/2006,Rockets,NA,Maciej Lampe,placed on IL
8614,3/6/2006,Bobcats,NA,Bernard Robinson,placed on IL with stomach virus
8616,3/6/2006,Grizzlies,NA,Brian Cardinal,placed on IL
8617,3/6/2006,Grizzlies,NA,Eddie Jones,placed on IL
8620,3/6/2006,Hornets,NA,Arvydas Macijauskas,placed on IL
8621,3/6/2006,Hornets,NA,Brandon Bass,placed on IL
8624,3/6/2006,Lakers,NA,Devin Green,placed on IL
8625,3/6/2006,Magic,NA,Grant Hill,placed on IL with lower abdominal pain
8627,3/7/2006,Blazers,NA,Ha Seung-Jin,placed on IL
8629,3/7/2006,Bulls,NA,Michael Sweetney / Mike Sweetney,placed on IL
8631,3/7/2006,Hawks,NA,Tyronn Lue,placed on IL with sprained MCL in right knee
8633,3/7/2006,Mavericks,NA,Josh Howard,placed on IL with strained hamstring
8635,3/7/2006,Raptors,NA,Antonio Davis,placed on IL
8637,3/7/2006,Spurs,NA,Nick Van Exel,placed on IL
8639,3/7/2006,Timberwolves,NA,Richie Frahm,placed on IL
8641,3/7/2006,Wizards,NA,Jared Jeffries,placed on IL with injured left calf
8643,3/8/2006,Bobcats,NA,Kevin Burleson,placed on IL
8645,3/8/2006,Bucks,NA,Maurice Williams / Mo Williams,placed on IL
8647,3/8/2006,Heat,NA,Alonzo Mourning,placed on IL with sprained left foot
8649,3/8/2006,Hornets,NA,Martyn Norris / Moochie Norris,placed on IL
8651,3/8/2006,Lakers,NA,Devean George,placed on IL with fracture in right wrist
8653,3/8/2006,Sonics,NA,Nick Collison,placed on IL with partially torn plantar fascia in left foot
8654,3/10/2006,Heat,NA,Jason Kapono,placed on IL
8656,3/10/2006,Hornets,NA,J.R. Smith,placed on IL
8658,3/10/2006,Magic,NA,Pat Garrity,placed on IL with shoulder injury
8659,3/10/2006,Magic,NA,Travis Diener,placed on IL
8662,3/11/2006,Bobcats,NA,Kareem Rush,placed on IL with stomach virus
8664,3/11/2006,Bulls,NA,Darius Songaila,placed on IL with stress fracture in right foot (out 6-8 weeks)
8666,3/11/2006,Jazz,NA,Robert Whaley,placed on IL
8668,3/11/2006,Magic,NA,Grant Hill,placed on IL with abdominal strain
8670,3/12/2006,Celtics,NA,Michael Olowokandi,placed on IL with dental pain
8672,3/12/2006,Grizzlies,NA,Bobby Jackson,placed on IL with pulled rib muscle
8674,3/12/2006,Hornets,NA,Arvydas Macijauskas,placed on IL
8676,3/12/2006,Mavericks,NA,Devin Harris,placed on IL with strained left quadricep
8678,3/12/2006,Nuggets,NA,Howard Eisley,placed on IL
8680,3/12/2006,Rockets,NA,Tracy McGrady,placed on IL with sore back
8682,3/13/2006,Bucks,NA,Jermaine Jackson,placed on IL
8684,3/13/2006,Knicks,NA,Eddy Curry,placed on IL with stomach virus
8686,3/14/2006,Bobcats,NA,Kevin Burleson,placed on IL
8688,3/14/2006,Bulls,NA,Chris Duhon,placed on IL with sore back
8690,3/14/2006,Hornets,NA,Martyn Norris / Moochie Norris,placed on IL
8692,3/14/2006,Lakers,NA,Chris Mihm,placed on IL with sprained right ankle
8694,3/14/2006,Mavericks,NA,Josh Howard,placed on IL with strained left hamstring
8696,3/14/2006,Raptors,NA,Eric Williams,placed on IL
8698,3/14/2006,Wizards,NA,Billy Thomas,placed on IL
8700,3/15/2006,Blazers,NA,Juan Dixon,placed on IL with left knee tendinitis
8702,3/15/2006,Bobcats,NA,Gerald Wallace,placed on IL with sprained left ankle
8704,3/15/2006,Clippers,NA,James Singleton,placed on IL
8706,3/15/2006,Knicks,NA,Quentin Richardson,placed on IL with sprained thumb
8708,3/15/2006,Nuggets,NA,Kenyon Martin Sr.,placed on IL with left knee tendinitis
8710,3/15/2006,Raptors,NA,Jose Calderon,placed on IL
8712,3/15/2006,Timberwolves,NA,Eddie Griffin,placed on IL
8715,3/17/2006,Blazers,NA,Theo Ratliff,placed on IL
8717,3/17/2006,Celtics,NA,Dwayne Jones,placed on IL
8719,3/17/2006,Clippers,NA,Yaroslav Korolev,placed on IL
8721,3/17/2006,Kings,NA,Jason Hart,placed on IL
8723,3/17/2006,Nuggets,NA,Earl Boykins,placed on IL with fractured left hand
8725,3/17/2006,Spurs,NA,Sean Marks,placed on IL
8726,3/18/2006,Blazers,NA,Ha Seung-Jin,placed on IL
8728,3/18/2006,Bobcats,NA,Kevin Burleson,placed on IL
8730,3/18/2006,Bucks,NA,Maurice Williams / Mo Williams,placed on IL with sprained left ankle
8732,3/18/2006,Bulls,NA,Eddie Basden,placed on IL
8734,3/18/2006,Hornets,NA,Brandon Bass,placed on IL
8735,3/18/2006,Hornets,NA,Desmond Mason,placed on IL with sprained MCL in left knee
8739,3/19/2006,Grizzlies,NA,Anthony Roberson,placed on IL
8741,3/19/2006,Kings,NA,Jamal Sampson,placed on IL
8743,3/19/2006,Lakers,NA,Aaron McKie,placed on IL with strained left quadriceps
8745,3/19/2006,Warriors,NA,Baron Davis,placed on IL with sprained right ankle
8746,3/20/2006,Lakers,NA,Devin Green,placed on IL
8748,3/20/2006,Rockets,NA,David Wesley,placed on IL with cracked ribs
8749,3/21/2006,Bobcats,NA,Brevin Knight,placed on IL with sore groin
8751,3/21/2006,Hornets,NA,Arvydas Macijauskas,placed on IL
8753,3/21/2006,Kings,NA,Sergei Monia,placed on IL
8755,3/21/2006,Knicks,NA,Malik Rose,placed on IL with sprained right ankle
8757,3/21/2006,Suns,NA,Dijon Thompson,placed on IL with right knee injury
8758,3/21/2006,Wizards,NA,Awvee Storey,placed on IL
8760,3/23/2006,Grizzlies,NA,Iakovos Tsakalidis / Jake Tsakalidis,placed on IL with sprained left thumb
8765,3/24/2006,76ers,NA,Willie Green,placed on IL
8766,3/24/2006,Blazers,NA,Darius Miles,placed on IL with death in family
8768,3/24/2006,Bobcats,NA,Kevin Burleson,placed on IL
8770,3/24/2006,Bucks,NA,T.J. Ford,placed on IL with strained left quadriceps
8772,3/24/2006,Bulls,NA,Malik Allen,placed on IL with sore back
8774,3/24/2006,Celtics,NA,Al Jefferson,placed on IL with sprained right ankle
8776,3/24/2006,Heat,NA,Alonzo Mourning,placed on IL with partially torn right calf muscle
8778,3/24/2006,Hornets,NA,Brandon Bass,placed on IL
8780,3/24/2006,Knicks,NA,Quentin Richardson,placed on IL
8781,3/24/2006,Pistons,NA,Jason Maxiell,placed on IL
8783,3/25/2006,Clippers,NA,Boniface N'Dong,placed on IL
8786,3/25/2006,Kings,NA,Kevin Martin,placed on IL with strained right thigh
8788,3/25/2006,Wizards,NA,Andray Blatche,placed on IL
8790,3/26/2006,Bobcats,NA,Raymond Felton,placed on IL with abdominal injury
8792,3/26/2006,Clippers,NA,Cuttino Mobley,placed on IL with sprained right ankle
8794,3/26/2006,Lakers,NA,Andrew Bynum,placed on IL with sprained right foot
8797,3/28/2006,Bobcats,NA,Primoz Brezec,placed on IL with back spasms
8799,3/28/2006,Bucks,NA,Reece Gaines,placed on IL
8801,3/28/2006,Bulls,NA,Eric Piatkowski,placed on IL
8803,3/28/2006,Clippers,NA,James Singleton,placed on IL
8805,3/28/2006,Hawks,NA,Salim Stoudamire,placed on IL with sprained right elbow
8806,3/28/2006,Magic,NA,Travis Diener,placed on IL
8809,3/28/2006,Spurs,NA,(William) Tony Parker,placed on IL with sore right shin
8811,3/28/2006,Wizards,NA,Brendan Haywood,placed on IL with back spasms
8812,3/28/2006,Wizards,NA,Gilbert Arenas,placed on IL with flu
8815,3/29/2006,Heat,NA,Shaquille O'Neal,placed on IL with hyperextended left knee
8817,3/29/2006,Hornets,NA,Arvydas Macijauskas,placed on IL
8819,3/29/2006,Nuggets,NA,Marcus Camby,placed on IL with strained back
8820,3/29/2006,Raptors,NA,Chris Bosh,placed on IL with sprained left thumb
8821,3/30/2006,Pacers,NA,Jermaine O'Neal,placed on IL with groin injury
8822,3/30/2006,Spurs,NA,Beno Udrih,placed on IL with sprained left ankle
8824,3/31/2006,Bobcats,NA,Kevin Burleson,placed on IL
8826,3/31/2006,Hornets,NA,P.J. Brown,placed on IL with sprained left ankle
8827,3/31/2006,Mavericks,NA,Adrian Griffin,placed on IL with strained left hamstring
8829,3/31/2006,Nuggets,NA,Eduardo Najera,placed on IL with sore right knee
8831,3/31/2006,Raptors,NA,James Lang,placed on IL
8833,3/31/2006,Wizards,NA,Jarvis Hayes,placed on IL
8835,4/1/2006,Bucks,NA,Jermaine Jackson,placed on IL
8837,4/1/2006,Pacers,NA,Stephen Jackson,placed on IL with sprained left ankle
8840,4/2/2006,Heat,NA,James Posey,placed on IL with ankle tendinitis
8841,4/2/2006,Heat,NA,Jason Williams,placed on IL with knee tendinitis
8844,4/2/2006,Kings,NA,Sergei Monia,placed on IL
8846,4/2/2006,Mavericks,NA,Keith Van Horn,placed on IL with broken right hand
8848,4/2/2006,Nuggets,NA,Julius Hodge,placed on IL
8850,4/4/2006,76ers,NA,Louis Williams / Lou Williams,placed on IL
8852,4/4/2006,Cavaliers,NA,Stephen Graham,placed on IL
8854,4/4/2006,Grizzlies,NA,Lawrence Roberts,placed on IL
8856,4/4/2006,Knicks,NA,Jalen Rose,placed on IL with plantar fasciaitis in left foot
8858,4/4/2006,Pacers,NA,Fred Jones,placed on IL
8860,4/4/2006,Wizards,NA,Awvee Storey,placed on IL
8862,4/5/2006,Blazers,NA,Martell Webster,placed on IL with back spasms
8864,4/5/2006,Bulls,NA,Randy Livingston,placed on IL
8866,4/5/2006,Cavaliers,NA,Zydrunas Ilgauskas,placed on IL with sprained left ankle
8868,4/5/2006,Clippers,NA,Vin Baker,placed on IL
8870,4/5/2006,Rockets,NA,Richie Frahm,placed on IL with strained left calf
8872,4/6/2006,Nuggets,NA,Kenyon Martin Sr.,placed on IL with knee tendinitis
8874,4/7/2006,Blazers,NA,Joel Przybilla,placed on IL with swollen knee
8876,4/7/2006,Clippers,NA,Corey Maggette,placed on IL with back spasms
8878,4/7/2006,Hornets,NA,Brandon Bass,placed on IL
8879,4/7/2006,Hornets,NA,Marcus Fizer,placed on IL
8882,4/7/2006,Pacers,NA,David Harrison,placed on IL
8884,4/7/2006,Pistons,NA,Richard Hamilton,placed on IL with death in family
8887,4/7/2006,Spurs,NA,Robert Horry,placed on IL with death in family
8889,4/7/2006,Wizards,NA,Caron Butler,placed on IL with sprained right thumb
8891,4/8/2006,76ers,NA,Kevin Ollie,placed on IL with strained right quadriceps
8893,4/8/2006,Bulls,NA,Eric Piatkowski,placed on IL with concussion
8894,4/8/2006,Bulls,NA,Luol Deng,placed on IL with concussion
8897,4/8/2006,Nuggets,NA,Julius Hodge,placed on IL with gunshot wound
8899,4/9/2006,Lakers,NA,Devin Green,placed on IL
8901,4/9/2006,Pistons,NA,Jason Maxiell,placed on IL
8903,4/9/2006,Spurs,NA,Emanuel Ginobili / Manu Ginobili,placed on IL with bruised left calf & shin
8904,4/9/2006,Spurs,NA,Sean Marks,placed on IL
8907,4/10/2006,Magic,NA,Carlos Arroyo,placed on IL with hamstring injury
8909,4/10/2006,Pacers,NA,Eddie Gill,placed on IL
8911,4/11/2006,Spurs,NA,Robert Horry,placed on IL for personal reasons
8913,4/11/2006,Timberwolves,NA,Ricky Davis,placed on IL with strained left groin
8915,4/11/2006,Timberwolves,NA,Troy Hudson,placed on IL with right ankle injury
8916,4/12/2006,Bulls,NA,Chris Duhon,placed on IL with lower back pain
8918,4/12/2006,Hornets,NA,David West,placed on IL with sprained left ankle
8920,4/12/2006,Pacers,NA,Fred Jones,placed on IL with torn ligament in left thumb
8922,4/13/2006,Cavaliers,NA,LeBron James,placed on IL with sprained left ankle
8924,4/13/2006,Knicks,NA,Steve Francis,placed on IL with sore back
8926,4/13/2006,Mavericks,NA,Jerry Stackhouse,placed on IL
8928,4/13/2006,Spurs,NA,Sean Marks,placed on IL
8930,4/14/2006,Bulls,NA,Eddie Basden,placed on IL
8931,4/14/2006,Bulls,NA,Randy Livingston,placed on IL
8934,4/14/2006,Hornets,NA,Aaron Williams,placed on IL with right knee injury
8936,4/14/2006,Knicks,NA,Stephon Marbury,placed on IL with strained left patella tendon
8938,4/14/2006,Pistons,NA,Kelvin Cato,placed on IL
8940,4/15/2006,Blazers,NA,Zach Randolph,placed on IL with sore right knee
8942,4/16/2006,Cavaliers,NA,Stephen Graham,placed on IL
8944,4/16/2006,Clippers,NA,Cuttino Mobley,placed on IL with ankle injury
8946,4/16/2006,Heat,NA,Dorell Wright,placed on IL
8947,4/16/2006,Heat,NA,Jason Kapono,placed on IL
8950,4/16/2006,Hornets,NA,Craig Claxton / Speedy Claxton,placed on IL with knee injury
8952,4/16/2006,Mavericks,NA,Devin Harris,placed on IL with sore left leg
8954,4/16/2006,Spurs,NA,Melvin Sanders,placed on IL
8956,4/16/2006,Wizards,NA,Etan Thomas,placed on IL with strained lower back
8958,4/17/2006,Bucks,NA,Maurice Williams / Mo Williams,placed on IL with sprained left ankle
8960,4/17/2006,Cavaliers,NA,LeBron James,placed on IL with sprained left ankle
8962,4/17/2006,Hornets,NA,David West,placed on IL with sprained/sore left ankle
8964,4/17/2006,Magic,NA,Travis Diener,placed on IL
8966,4/17/2006,Pistons,NA,Lindsey Hunter,placed on IL for rest
8967,4/17/2006,Pistons,NA,Rasheed Wallace,placed on IL for rest
8968,4/17/2006,Pistons,NA,Richard Hamilton,placed on IL for rest
8972,4/18/2006,Bucks,NA,Jermaine Jackson,placed on IL
8974,4/18/2006,Clippers,NA,Vladimir Radmanovic,placed on IL with strained right groin
8976,4/18/2006,Grizzlies,NA,Pau Gasol,placed on IL with sore left foot
8978,4/18/2006,Heat,NA,Dwyane Wade,placed on IL for rest
8979,4/18/2006,Heat,NA,Shaquille O'Neal,placed on IL for rest
8982,4/18/2006,Nets,NA,Antoine Wright,placed on IL
8983,4/18/2006,Nets,NA,Jason Kidd,placed on IL for personal reasons
8984,4/19/2006,Cavaliers,NA,Larry Hughes,placed on IL for rest
8986,4/19/2006,Clippers,NA,Elton Brand,placed on IL for rest
8987,4/19/2006,Clippers,NA,Sam Cassell,placed on IL for rest
8990,4/19/2006,Grizzlies,NA,Eddie Jones,placed on IL for rest
8992,4/19/2006,Heat,NA,Jason Williams,placed on IL for rest
8993,4/19/2006,Lakers,NA,Andrew Bynum,placed on IL
8995,4/19/2006,Mavericks,NA,Marquis Daniels,placed on IL with strained left hamstring
8997,4/19/2006,Pistons,NA,Chauncey Billups,placed on IL for rest
8998,4/19/2006,Pistons,NA,Dale Davis,placed on IL
8999,4/19/2006,Pistons,NA,Maurice Evans,placed on IL
9003,4/19/2006,Spurs,NA,(William) Tony Parker,placed on IL for rest
9004,4/19/2006,Spurs,NA,Tim Duncan,placed on IL for rest
9007,4/22/2006,Bulls,NA,Randy Livingston,placed on IL
9008,4/22/2006,Cavaliers,NA,Stephen Graham,placed on IL
9009,4/22/2006,Clippers,NA,Vin Baker,placed on IL
9010,4/22/2006,Heat,NA,Derek Anderson,placed on IL
9011,4/22/2006,Kings,NA,Jamal Sampson,placed on IL
9012,4/22/2006,Nuggets,NA,Linas Kleiza,placed on IL with sprained left ankle
9013,4/22/2006,Spurs,NA,Sean Marks,placed on IL
9014,4/22/2006,Wizards,NA,Andray Blatche,placed on IL
9015,4/23/2006,Bucks,NA,Toni Kukoc,placed on IL with back spasms
9016,4/23/2006,Grizzlies,NA,Anthony Roberson,placed on IL
9017,4/23/2006,Lakers,NA,Andrew Bynum,placed on IL
9018,4/23/2006,Mavericks,NA,Keith Van Horn,placed on IL
9019,4/23/2006,Nets,NA,Antoine Wright,placed on IL
9020,4/23/2006,Pacers,NA,Jamaal Tinsley,placed on IL
9021,4/23/2006,Pistons,NA,Jason Maxiell,placed on IL
9022,4/23/2006,Suns,NA,Amare Stoudemire / Amar'e Stoudemire,placed on IL
9023,4/25/2006,Nets,NA,John Thomas,placed on IL
9025,4/25/2006,Pacers,NA,Predrag Stojakovic / Peja Stojakovic,placed on IL with sore right knee
9027,4/26/2006,Lakers,NA,Chris Mihm,placed on IL with sprained right ankle
9029,4/27/2006,Heat,NA,Jason Kapono,placed on IL
9031,4/27/2006,Nuggets,NA,Kenyon Martin Sr.,placed on IL (suspended)
9033,4/27/2006,Pacers,NA,Jamaal Tinsley,placed on IL with sore right Achilles tendon
9035,4/29/2006,Bucks,NA,Jermaine Jackson,placed on IL
9037,5/1/2006,Clippers,NA,Zeljko Rebraca,placed on IL with chest pains
9040,5/13/2006,Cavaliers,NA,Larry Hughes,placed on IL with death of brother
9042,5/15/2006,Mavericks,NA,Darrell Armstrong,placed on IL with bruised left knee
9044,5/19/2006,Mavericks,NA,Josh Powell,placed on IL
9046,5/21/2006,Cavaliers,NA,Stephen Graham,placed on IL
9048,5/24/2006,Mavericks,NA,Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,placed on IL
9050,6/18/2006,Mavericks,NA,Josh Powell,placed on IL
9052,10/31/2006,76ers,NA,Bobby Jones (Ray),placed on IL
9053,10/31/2006,76ers,NA,Ivan McFarland,placed on IL
9054,10/31/2006,76ers,NA,Steven Smith,placed on IL
9055,10/31/2006,Blazers,NA,Darius Miles,placed on IL with sore right knee
9056,10/31/2006,Blazers,NA,LaMarcus Aldridge,placed on IL recovering from surgery on right shoulder
9057,10/31/2006,Blazers,NA,Martell Webster,placed on IL with back injury
9058,10/31/2006,Bobcats,NA,Alan Anderson,placed on IL with back spasms
9059,10/31/2006,Bobcats,NA,Ryan Hollins,placed on IL
9060,10/31/2006,Bobcats,NA,Walter Herrmann,placed on IL with right foot injury
9061,10/31/2006,Bucks,NA,Bobby Simmons,placed on IL with stress reaction in right heel
